Date,Transaction Description,Category,Amount,Type,Month,Year,Day_of_Week,Is_Weekend,Cumulative_Monthly_Expense,Expense_Category_Ratio,Transaction_Type,Absolute_Amount
2020-01-02,Score each.,Food & Drink,1485.69,Expense,1,2020,Thursday,False,1485.69,0.009315056881040649,Income,1485.69
2020-01-02,Quality throughout.,Utilities,1475.58,Expense,1,2020,Thursday,False,2961.27,0.010049309434322315,Income,1475.58
2020-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense,1,2020,Saturday,True,4146.35,0.007311905897619621,Income,1185.08
2020-01-05,Information last everything thank serve.,Investment,2291.0,Income,1,2020,Sunday,True,6437.35,0.006306916410646053,Income,2291.0
2020-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense,1,2020,Monday,False,7564.23,0.007065371173062407,Income,1126.88
2020-01-14,Benefit suggest page southern.,Shopping,448.68,Expense,1,2020,Tuesday,False,8012.91,0.003054722964037153,Income,448.68
2020-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense,1,2020,Saturday,True,9532.94,0.00953036360942607,Income,1520.03
2020-01-19,Court attorney product significant world.,Other,3287.0,Income,1,2020,Sunday,True,12819.94,0.008863780387503876,Income,3287.0
2020-01-21,Herself law.,Entertainment,1914.85,Expense,1,2020,Tuesday,False,14734.79,0.012923726425597002,Income,1914.85
2020-01-25,Have decide environment.,Rent,766.06,Expense,1,2020,Saturday,True,15500.85,0.004726565828408619,Income,766.06
2020-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense,1,2020,Saturday,True,16712.26,0.0083433853974467,Income,1211.41
2020-01-26,Range successful simply.,Salary,1077.09,Expense,1,2020,Sunday,True,17789.35,0.007226194880967277,Income,1077.09
2020-01-29,Source husband.,Shopping,166.81,Expense,1,2020,Wednesday,False,17956.16,0.0011356831987854093,Income,166.81
2020-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense,1,2020,Thursday,False,19115.09,0.007981938104079465,Income,1158.93
2020-01-31,How trip learn enter.,Food & Drink,1325.91,Expense,1,2020,Friday,False,20441.0,0.00831325987866958,Income,1325.91
2020-01-31,Much section investment on gun.,Rent,1712.08,Expense,1,2020,Friday,False,22153.08,0.010563479131532555,Income,1712.08
2020-01-31,Management sense technology check civil.,Shopping,563.17,Expense,1,2020,Friday,False,22716.25,0.0038341988313648993,Income,563.17
2020-02-02,As high you more wife.,Health & Fitness,333.68,Expense,2,2020,Sunday,True,333.68,0.002298165641211493,Income,333.68
2020-02-04,Race mr.,Travel,1406.62,Expense,2,2020,Tuesday,False,1740.3,0.008298751269854314,Income,1406.62
2020-02-05,Born itself law west.,Rent,1222.17,Expense,2,2020,Wednesday,False,2962.4700000000003,0.007540750017630685,Income,1222.17
2020-02-05,Seven medical blood personal.,Investment,1838.0,Income,2,2020,Wednesday,False,4800.47,0.005059848259610408,Income,1838.0
2020-02-07,Current hear claim well two.,Travel,1979.15,Expense,2,2020,Friday,False,6779.62,0.011676553422908936,Income,1979.15
2020-02-07,Food affect upon these story.,Entertainment,1372.38,Expense,2,2020,Friday,False,8152.0,0.009262482007447484,Income,1372.38
2020-02-08,Around there water.,Food & Drink,465.81,Expense,2,2020,Saturday,True,8617.81,0.0029205599053352617,Income,465.81
2020-02-08,Staff within mouth call.,Other,3786.0,Income,2,2020,Saturday,True,12403.810000000001,0.0102093923173379,Income,3786.0
2020-02-09,Close month parent who up.,Entertainment,1827.14,Expense,2,2020,Sunday,True,14230.95,0.01233175314059342,Income,1827.14
2020-02-11,Human public health.,Health & Fitness,433.13,Expense,2,2020,Tuesday,False,14664.08,0.002983111017076043,Income,433.13
2020-02-13,Building different full open.,Salary,294.31,Expense,2,2020,Thursday,False,14958.390000000001,0.0019745252629004813,Income,294.31
2020-02-15,Detail audience piece director town.,Other,4009.0,Income,2,2020,Saturday,True,18967.39,0.010810737929267733,Income,4009.0
2020-02-16,Method everything.,Shopping,730.37,Expense,2,2020,Sunday,True,19697.760000000002,0.0049725372453503945,Income,730.37
2020-02-16,Much rich think.,Utilities,1023.96,Expense,2,2020,Sunday,True,20721.72,0.006973590647995147,Income,1023.96
2020-02-18,Drug list imagine behind.,Investment,1398.0,Income,2,2020,Tuesday,False,22119.72,0.0038485679363086784,Income,1398.0
2020-02-19,Interest level rock pull.,Investment,3958.0,Income,2,2020,Wednesday,False,26077.72,0.010896017090064198,Income,3958.0
2020-02-20,I fund.,Shopping,769.42,Expense,2,2020,Thursday,False,26847.14,0.005238399177564112,Income,769.42
2020-02-26,Court movie cell.,Travel,1942.45,Expense,2,2020,Wednesday,False,28789.59,0.011460031425778472,Income,1942.45
2020-02-27,Leg themselves away.,Food & Drink,1363.76,Expense,2,2020,Thursday,False,30153.35,0.008550573788669235,Income,1363.76
2020-02-28,Anything yourself.,Other,3286.0,Income,2,2020,Friday,False,33439.35,0.008861083770410021,Income,3286.0
2020-02-28,Unit support.,Other,1795.0,Income,2,2020,Friday,False,35234.35,0.004840427683471086,Income,1795.0
2020-02-29,Magazine degree husband around.,Travel,1944.06,Expense,2,2020,Saturday,True,37178.41,0.011469530074698909,Income,1944.06
2020-03-03,World enter.,Rent,1742.33,Expense,3,2020,Tuesday,False,1742.33,0.010750120669152794,Income,1742.33
2020-03-04,Institution whatever yet.,Entertainment,314.15,Expense,3,2020,Wednesday,False,2056.48,0.0021202645933630824,Income,314.15
2020-03-04,Choice father why often.,Food & Drink,1201.9,Expense,3,2020,Wednesday,False,3258.38,0.00753573549348973,Income,1201.9
2020-03-09,Security arm.,Rent,1858.91,Expense,3,2020,Monday,False,5117.29,0.011469415560252548,Income,1858.91
2020-03-09,Me system church whether.,Travel,486.51,Expense,3,2020,Monday,False,5603.8,0.002870302910734116,Income,486.51
2020-03-11,Attention attack technology.,Rent,180.45,Expense,3,2020,Wednesday,False,5784.25,0.0011133707591263547,Income,180.45
2020-03-11,Walk now often.,Rent,1956.19,Expense,3,2020,Wednesday,False,7740.4400000000005,0.012069630065366495,Income,1956.19
2020-03-12,Bank price north first end.,Utilities,265.5,Expense,3,2020,Thursday,False,8005.9400000000005,0.001808164691045267,Income,265.5
2020-03-12,Enter capital population.,Utilities,537.46,Expense,3,2020,Thursday,False,8543.4,0.0036603246510327277,Income,537.46
2020-03-14,Upon very act perform.,Shopping,1929.08,Expense,3,2020,Saturday,True,10472.48,0.013133647533798677,Income,1929.08
2020-03-15,Available defense.,Entertainment,1428.77,Expense,3,2020,Sunday,True,11901.25,0.009643070008146973,Income,1428.77
2020-03-18,Value thing these.,Health & Fitness,881.82,Expense,3,2020,Wednesday,False,12783.07,0.006073388952688561,Income,881.82
2020-03-21,Citizen street region.,Rent,503.33,Expense,3,2020,Saturday,True,13286.4,0.003105530086955213,Income,503.33
2020-03-23,Property never.,Investment,2385.0,Income,3,2020,Monday,False,15671.4,0.006565689934260513,Income,2385.0
2020-03-23,Enough threat score.,Food & Drink,151.28,Expense,3,2020,Monday,False,15822.68,0.0009485032577212134,Income,151.28
2020-03-24,Example decision garden.,Entertainment,144.13,Expense,3,2020,Tuesday,False,15966.81,0.0009727637620290341,Income,144.13
2020-03-28,Major town suffer begin.,Other,1080.0,Income,3,2020,Saturday,True,17046.81,0.0029123464613642186,Income,1080.0
2020-04-01,Analysis four capital.,Travel,1341.27,Expense,4,2020,Wednesday,False,1341.27,0.007913200520195573,Income,1341.27
2020-04-05,Scientist necessary into.,Utilities,1449.47,Expense,4,2020,Sunday,True,2790.74,0.009871489547003327,Income,1449.47
2020-04-06,Away third.,Salary,493.56,Expense,4,2020,Monday,False,3284.3,0.0033112931560502924,Income,493.56
2020-04-06,Along hard need involve among.,Shopping,388.92,Expense,4,2020,Monday,False,3673.2200000000003,0.0026478622964547774,Income,388.92
2020-04-10,Together decide.,Other,3402.0,Income,4,2020,Friday,False,7075.22,0.009173891353297289,Income,3402.0
2020-04-17,Government nice.,Salary,1729.04,Expense,4,2020,Friday,False,8804.26,0.011600126263346295,Income,1729.04
2020-04-17,See understand door class son.,Investment,996.0,Income,4,2020,Friday,False,9800.26,0.0027418981863830067,Income,996.0
2020-04-18,Agent say forward us.,Health & Fitness,1603.18,Expense,4,2020,Saturday,True,11403.44,0.011041636276304967,Income,1603.18
2020-04-22,City red him.,Investment,2058.0,Income,4,2020,Wednesday,False,13461.44,0.005665488421261273,Income,2058.0
2020-04-23,Develop staff least figure.,Utilities,849.54,Expense,4,2020,Thursday,False,14310.98,0.005785718386555917,Income,849.54
2020-04-25,Age cover foreign.,Entertainment,1750.23,Expense,4,2020,Saturday,True,16061.210000000001,0.011812671332936075,Income,1750.23
2020-04-26,Go meeting quickly.,Investment,914.0,Income,4,2020,Sunday,True,16975.21,0.0025161595806767753,Income,914.0
2020-04-26,Voice boy wife condition.,Food & Drink,1938.3,Expense,4,2020,Sunday,True,18913.510000000002,0.012152854735860839,Income,1938.3
2020-04-27,Board its.,Entertainment,340.96,Expense,4,2020,Monday,False,19254.47,0.0023012109366642576,Income,340.96
2020-04-27,Paper memory history office.,Entertainment,1730.65,Expense,4,2020,Monday,False,20985.12,0.011680521784191688,Income,1730.65
2020-04-29,Remember ability.,Utilities,764.16,Expense,4,2020,Wednesday,False,21749.28,0.0052042453118988745,Income,764.16
2020-04-30,Hair attorney professional.,Travel,1853.77,Expense,4,2020,Thursday,False,23603.05,0.010936838763502462,Income,1853.77
2020-05-01,Finish summer rest feel finally.,Travel,851.78,Expense,5,2020,Friday,False,851.78,0.00502531625928574,Income,851.78
2020-05-03,I fast camera inside.,Salary,318.05,Expense,5,2020,Sunday,True,1169.83,0.002133796880382923,Income,318.05
2020-05-03,Past feeling nature.,Food & Drink,1162.57,Expense,5,2020,Sunday,True,2332.3999999999996,0.007289142202068687,Income,1162.57
2020-05-05,Expert involve oil.,Health & Fitness,123.76,Expense,5,2020,Tuesday,False,2456.16,0.0008523764677425509,Income,123.76
